firm_id,year,company,country,technology,transformation_tech,production,scope1,scope2_location,scope2_market,scope_1_2_location,intensity_location_co2e,intensity_market_co2e,cdp_climate_score,cap_supplier_engagement,ecovadis,ESG_transparency,SBTi_validated,responsible_steel,iso_14001,iso_14064,iso_45001,data_quality,Notes,Unnamed: 23,tech_bfboff,tech_eaf,carbon_price,electricity_price,electricity_price_eu,coal_price_australia,iron_ore_price,natural_gas_price,natural_gas_price_eu,crude_steel_production,crude_steel_production_eu,ETS_coke_production,ETS_metal_ore,ETS_iron_steel,ETS_hydrogen_gas,SCI,hydrogen_use,ETS,CBAM,IED_update,green_deal,NZIA,CSP_funding,GPP,CSR,paris,KSG,ESRS,glasgow,govt_change,govt_change_DE,govt_change_IT,govt_change_SE,govt_change_NL,govt_change_ES,govt_change_FI,govt_change_FR,govt_change_LU,govt_change_GB,govt_change_AT,EU_parl,EU_comm,Automotive,Construction/ Infrastructure,Industrial Equipment/ Machinery,Energy/ Oil & Gas,Distributors/ Service Centers/ Trading,Aerospace,Home Appliances/ Consumer Goods,Transportation/ Pipes,Railway Systems/ Rail Products,Steel Processors/ Fabricators,Food Industry/ Catering,Chemical/ Pharmaceutical,Packaging,Material Handling/ Mining,Agriculture,Government/ Public Sector (B2G),B2C (Individual Retail Consumers),Steel Producers (Raw Mat.),client_pressure_score,carbon_intensity,pred_pr,pred_sc,pred_ci,BFBOF,ETS_iron_steel_BF,ETS_h2_BF
9,2021,SIDENOR Group,Europe (Multi-country),EAF,Furnace fuel change (Dojran) & PV installation (Dojran),1.53,0.2003,0.5001,0.5343,0.7004,0.46,0.48,,,,,,,,,,,,,0,1,52.5,0.13685,0.13685,0.013621893,124.9926654,0.03605,0.03605,149.6,149.6,5552066.0,2403750.0,112925005.0,8209619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,5,0.13091503267973856,1.1697256017511442,-4.047833454825971,-0.6229475373547912,0,0.0,0.0
9,2022,SIDENOR Group,Europe (Multi-country),EAF,,1.59,0.2026,0.5267,0.6574,0.7293,0.46,0.54,,,,,,,,,,,,,0,1,80.32,0.1972,0.1972,0.035601772,98.08378154,0.07615,0.07615,136.4,136.4,5403405.0,2016531.0,102433227.0,7432523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,5,0.12742138364779873,0.6768760257642694,0.6248089703421397,0.6031643822802695,0,0.0,0.0
9,2023,SIDENOR Group,Europe (Multi-country),EAF,New air pollution control (Sidenor) & TCFD Report released,1.26,0.1646,0.3702,0.4924,0.5348,0.43,0.52,,,,,,,,,,,,,0,1,84.0,0.2077,0.2077,0.017881373,97.74855755,0.07575,0.07575,126.3,126.3,4956877.0,1689591.0,94126500.0,7906685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,5,0.13063492063492063,1.5408469414492831,5.805933387204361,1.2655019236861593,0,0.0,0.0
9,2024,SIDENOR Group,Europe (Multi-country),EAF,Pumping station revamp (Sidenor) & New ladle preheaters (Stomana/Sovel),1.46,0.1724,0.3121,0.3965,0.4845,0.33,0.39,,,,,,,,,,,,,0,1,65.0,0.1913,0.1913,0.013949641,87.80313684,0.06295,0.06295,129.5,129.5,4895461.0,1757647.0,93141719.0,8001593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,5,0.11808219178082192,1.935638475483135,5.370907993081387,1.0337396865931852,0,0.0,0.0
11,2016,Salzgitter AG,Germany,BF-BOF,SALCOS,5.452,8.67,0.686,,9.356,1.716,,,,,,,,,,,Good,Production estimated using 0.8014 conversion facto,,1,0,5.2,0.14985,0.1122,0.008110017,56.13143908,0.03355,0.0313,42.1,162.3,3860753.0,64772.0,28610011.0,3170755.0,0.679572708,0.099769622,3.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.5902421129860602,5.132746932027734,6.072837832385466,0.991918615239004,1,28610011.0,3170755.0
11,2017,Salzgitter AG,Germany,BF-BOF,SALCOS,5.574,8.47,0.693,,9.163,1.644,,,,,,,,,,,Good,Production estimated using 0.8014 conversion facto,,1,0,5.8,0.15165,0.11275,0.010276933,65.26184397,0.0312,0.0296,43.6,168.7,3952184.0,69471.0,29877260.0,3189746.0,0.685258257,0.096463103,3.0,,1.0,,,,,2.0,,,,,,,,,1.0,,,1.0,,,1.0,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.5195550771438824,5.007041523663591,5.847177603002559,0.9846958533835217,1,29877260.0,3189746.0
11,2018,Salzgitter AG,Germany,BF-BOF,SALCOS,5.641,8.71,0.6,,9.31,1.65,,,,,,,,,,,Excellent,Production estimated using 0.8014 conversion facto,,1,0,15.5,0.15075,0.1131,0.011356758,57.98030254,0.0316,0.03155,42.4,167.6,3852773.0,80645.0,30139010.0,3102719.0,0.710825708,0.093338075,3.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.5440524729657863,4.942831632999277,5.381087770229827,0.928600008008319,1,30139010.0,3102719.0
11,2019,Salzgitter AG,Germany,BF-BOF,SALCOS,5.299,8.402,0.536,,8.938,1.687,,,,,,,,,,,Excellent,Production estimated using 0.8014 conversion facto,,1,0,24.7,0.15825,0.1205,0.008927396,84.26424977,0.0309,0.03225,39.7,159.4,3734684.0,79149.0,28342719.0,3128562.0,0.713922393,0.099410062,3.0,,,communicated,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.5855821853179843,5.00182505848672,6.573033061489,1.1413105510171742,1,28342719.0,3128562.0
11,2020,Salzgitter AG,Germany,BF-BOF,SALCOS,4.835,7.646,0.448,,8.094,1.674,,,,,,,,,,,Excellent,Production estimated using 0.8014 conversion facto,,1,0,24.4,0.17995,0.1257,0.006938629,97.39234831,0.0289,0.02925,35679.0,138.8,3309214.0,81019.0,25065607.0,3028868.0,0.000702531,0.107810094,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.5813857290589453,6.4030508584458055,5.903337367458613,0.8688534133309803,1,25065607.0,3028868.0
11,2021,Salzgitter AG,Germany,BF-BOF,SALCOS,5.408,8.196,0.425,,8.621,1.594,,,,,,,,,,,Excellent,Production estimated using 0.8014 conversion facto,,1,0,52.5,0.18365,0.13685,0.013621893,124.9926654,0.0349,0.03605,40.241,149.6,3697695.0,72621.0,28285827.0,2752903.0,0.702910638,0.088692514,4.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.515532544378698,4.384001955912726,6.927456542046432,1.4797464559047766,1,28285827.0,2752903.0
11,2022,Salzgitter AG,Germany,BF-BOF,SALCOS,4.933,8.002,0.386,,8.388,1.7,,,,,,,,,,,Excellent,Production reported (AR2022 p.55): SZFG 4.154 + PT,,1,0,80.32,0.2094,0.1972,0.035601772,98.08378154,0.0573,0.07615,36.86,136.4,3769578.0,62355.0,26375074.0,2575457.0,0.715547314,0.088960614,4.0,,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.6221366308534362,4.047560630522709,8.6428313901115,1.961302288091878,1,26375074.0,2575457.0
11,2023,Salzgitter AG,Germany,BF-BOF,SALCOS,4.54,7.308,0.481,0.649,7.789,1.716,1.753,,,,,,,,,,Excellent,Production reported (AR2023 p.66): SZFG 3.699 + PT,,1,0,84.0,0.21835,0.2077,0.017881373,97.74855755,0.0775,0.07575,35.395,126.3,3324150.0,62486.0,26282318.0,2512426.0,0.742543241,0.087252938,4.0,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.6096916299559472,3.8799505249403983,9.046208737059194,2.1071466263031917,1,26282318.0,2512426.0
11,2024,Salzgitter AG,Germany,BF-BOF,SALCOS,5.156,8.13,0.274,0.226,8.404,1.63,1.621,,,,,,,,,,Good,Production adjusted to exclude 30% HKM (6.361 - 1.,,1,0,65.0,0.23435,0.1913,0.013949641,87.80313684,0.06955,0.06295,37.234,129.5,3358260.0,63771.0,27012115.0,2626502.0,0.725469061,0.088617563,4.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1.5768037238169126,3.645741130725215,10.304603322006052,2.412833547013077,1,27012115.0,2626502.0
12,2019,Tata Steel Nederland,Netherlands,BF-BOF,H₂,6.62,11.82,-0.13,,11.69,1.76,,,,,,,,,,,Excellent,FY2019/20 (Apr 2019-Mar 2020). Worldsteel methodology. Negative Scope 2: Vattenfall power plant emissions included in Scope 1 (operational control approach),,1,0,24.7,0.097,0.1205,0.008927396,84.26424977,0.03445,0.03225,6.7,159.4,,,6348738.0,2295373.0,0.947572836,0.265541824,3.0,,,communicated,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.785498489425982,7.320315725401101,6.61657274708784,0.5431825660481601,1,6348738.0,2295373.0
12,2020,Tata Steel Nederland,Netherlands,BF-BOF,H₂,6.07,10.88,-0.06,,10.82,1.77,,,,,,,,,,,Excellent,FY2020/21 (Apr 2020-Mar 2021). Worldsteel methodology. Source: TSN Sustainability Report 2021-2022 p44,,1,0,24.4,0.11075,0.1257,0.006938629,97.39234831,0.0342,0.02925,6.054,138.8,,4514.0,5786172.0,2066824.0,0.955760159,0.263189234,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.7924217462932455,7.0162561191470525,6.890934811591221,0.7373471153312054,1,5786172.0,2066824.0
12,2021,Tata Steel Nederland,Netherlands,BF-BOF,H₂,6.45,11.55,-0.1,,11.45,1.78,,,,,,,,,,,Excellent,FY2021/22 (Apr 2021-Mar 2022). Worldsteel methodology. Source: TSN Sustainability Report 2021-2022 p44,,1,0,52.5,0.12405,0.13685,0.013621893,124.9926654,0.0435,0.03605,6.62,149.6,,8978.0,5957320.0,2351494.0,0.899897281,0.283011992,4.0,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.7906976744186047,6.97946688464753,8.77694258790356,1.0729016496606631,1,5957320.0,2351494.0
12,2022,Tata Steel Nederland,Netherlands,BF-BOF,H₂,6.16,11.03,-0.21,,10.82,1.78,,,,,,,,,,,Excellent,"FY2022/23 (Apr 2022-Mar 2023). Using GHG Protocol S1/S2 for consistency with other companies. Worldsteel total 10,95 Mt, intensity 1,78. Source: TSN Sustainability Report 2022-2023 p167",,1,0,80.32,0.1817,0.1972,0.035601772,98.08378154,0.07285,0.07615,6.143,136.4,,8619.0,5822618.0,1618853.0,0.947846004,0.217544757,4.0,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.7905844155844155,5.653446231989161,10.023663297779253,1.8826030617758196,1,5822618.0,1618853.0
12,2023,Tata Steel Nederland,Netherlands,BF-BOF,H₂,4.66,8.67,0.11,,8.78,1.81,,,,,,,,,,,Good,"FY2023/24 (Apr 2023-Mar 2024). ABNORMAL YEAR: Blast Furnace 6 relining reduced liquid steel production by 1,52 Mt (−24%). Delays in Cold Mill 21 commissioning further impacted output. NOT representative of normal operations. Exclude from trend analysis. Source: TSN Annual Report 2024-2025 p167, production note p52",,1,0,84.0,0.23125,0.2077,0.017881373,97.74855755,0.0761,0.07575,4.677,126.3,,9236.0,4543687.0,1681473.0,0.971496044,0.270109202,4.0,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.8605150214592274,5.052612386484614,14.018446627342515,2.859853101869268,1,4543687.0,1681473.0
12,2024,Tata Steel Nederland,Netherlands,BF-BOF,H₂,6.57,11.45,0.02,,11.47,1.69,,,,,,,,,,,Excellent,"FY2024/25 (Apr 2024-Mar 2025). Return to normal operations after BF6 restart. Production +41% vs FY23/24 (recovery from maintenance). Intensity improved to 1,69 (−4% vs 2019-2022 baseline), showing efficiency gains. Source: TSN Annual Report 2024-2025 p167",,1,0,65.0,0.2099,0.1913,0.013949641,87.80313684,0.0694,0.06295,6.395,129.5,,9915.0,5894644.0,1642672.0,0.921758249,0.217938587,4.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1.7427701674277014,5.23435220435502,11.990685171612622,2.40518647358513,1,5894644.0,1642672.0
