company,country,technology,transformation_tech,year,production,scope1,scope2_location,scope2_market,scope_1_2_location,intensity_location_co2e,intensity_market_co2e,cdp_climate_score,cap_supplier_engagement,ecovadis,ESG_transparency,SBTi_validated,responsible_steel,iso_14001,iso_14064,iso_45001,data_quality,notes,Unnamed: 23,carbon_price,electricity_price,electricity_price_eu,coal_price_australia,iron_ore_price,natural_gas_price,natural_gas_price_eu,crude_steel_production,crude_steel_production_eu,capacity_utilisation_eu,ETS_coke_production,ETS_metal_ore,ETS_iron_steel,ETS_hydrogen_gas,SCI,hydrogen_use,free_allocation,ETS_free_ratio,ETS,CBAM,IED_update,green_deal,NZIA,CSP_funding,GPP,CSR,paris,KSG,ESRS,glasgow,govt_change,govt_change_DE,govt_change_IT,govt_change_SE,govt_change_NL,govt_change_ES,govt_change_FI,govt_change_FR,govt_change_LU,govt_change_GB,govt_change_AT,EU_parl,EU_comm,Construction/ Infrastructure (C/I),Automotive/ Mobility (A/M),Energy/Power (E/P),Wind/Solar Energy (W/S),Oil & Gas/ Pipelines (O/G),Mechanical Eng./ Industrial Apps (ME/IA),Railways/ Track Systems (R/TS),Aerospace/ Aviation (A/A),HH Appliances/ Consumer Goods (HA/CG),Packaging/Food Industry (P/FI),client_pressure_score,carbon_intensity
ArcelorMittal,Luxembourg,BF-BOF,,2023,55.7,101.8,8.5,,110.3,1.98,,,,,,,,,,,Good,Adjusted portfolio,,84.0,0.24135,0.2077,0.017881373,97.74855755,0.10435,0.07575,1.9,126.3,60.1,,,299937.0,,0.157861579,,275914.0,0.919906514,4.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8276481149012567
ArcelorMittal,Luxembourg,BF-BOF,,2024,53.9,95.2,5.5,,100.7,1.87,,,,,,,,,,,Good,Adjusted portfolio,,65.0,0.2044,0.1913,0.013949641,87.80313684,0.0716,0.06295,1.825,129.5,65.4,,,295516.0,,0.161926575,,246521.0,0.834205255,4.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.7662337662337664
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2018,39.6,,,,67.4,1.7,,,,,,,,,,,Good,Adjusted portfolio,,15.5,0.1131,0.1131,0.011356758,57.98030254,0.03155,0.03155,167.6,167.6,73.1,11096868.0,2823401.0,121641513.0,8425794.0,0.725784684,0.069267422,146539199.0,1.204680831,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2019,37.3,,,,63.8,1.71,,,,,,,,,,,Good,Adjusted portfolio,,24.7,0.1205,0.1205,0.008927396,84.26424977,0.03225,0.03225,159.4,159.4,69.6,10047163.0,2733644.0,118160025.0,9277304.0,0.741279956,0.078514743,145956197.0,1.235241758,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2020,30.5,,,,51.2,1.68,,,,,,,,,,,Good,Adjusted portfolio,,24.4,0.1257,0.1257,0.006938629,97.39234831,0.02925,0.02925,138.8,138.8,62.1,4866924.0,2260832.0,98505918.0,8223765.0,0.709696816,0.083484984,137126291.0,1.39206145,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2021,35.6,,,,59.1,1.66,,,,,,,,,,,Good,Adjusted portfolio,,52.5,0.13685,0.13685,0.013621893,124.9926654,0.03605,0.03605,149.6,149.6,71.7,5552066.0,2403750.0,112925005.0,8209619.0,0.75484629,0.072699744,131310517.0,1.1628117,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2022,31.9,,,,53.3,1.67,,,,,,,,,,,Good,Adjusted portfolio,,80.32,0.1972,0.1972,0.035601772,98.08378154,0.07615,0.07615,136.4,136.4,64.0,5403405.0,2016531.0,102433227.0,7432523.0,0.750976738,0.072559688,132093266.0,1.289554863,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2023,28.8,,,,48.4,1.68,,,,,,,,,,,Good,Adjusted portfolio,,84.0,0.2077,0.2077,0.017881373,97.74855755,0.07575,0.07575,126.3,126.3,60.1,4956877.0,1689591.0,94126500.0,7906685.0,0.745261283,0.084000627,133343865.0,1.416645312,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
ArcelorMittal Europe,Europe (Multi-country),BF-BOF,,2024,31.2,,,,50.5,1.62,,,,,,,,,,,Good,Adjusted portfolio,,65.0,0.1913,0.1913,0.013949641,87.80313684,0.06295,0.06295,129.5,129.5,65.4,4895461.0,1757647.0,93141719.0,8001593.0,0.719241073,0.085907723,119015753.0,1.277792103,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,
Celsa Group,Spain,EAF,,2020,4.09,0.518,0.309,,0.827,0.202,,,,,,,Yes (migrating to 45001),Yes,,,Good,Only location-based Scope 2 available (0.309 Mt); COVID-19 impact visible in lower production; ISO 14001 main facilities; ISO 45001 migration from OHSAS 18001 ongoing; ISO 9001 main facilities; SustSteel verified BV; Production p.079 SR2020; Emissions p.102-103 SR2020,,24.4,0.11255,0.1257,0.006938629,97.39234831,0.02605,0.02925,11.142,138.8,62.1,25457.0,160516.0,5101081.0,772155.0,0.457824538,0.151370856,7601701.0,1.490213741,3.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.12665036674816627
Celsa Group,Spain,EAF,,2021,6.6,0.785,1.023,1.416,1.808,0.274,0.333,,,,,,,Yes,Yes,,Excellent,"Location-based (0.274) and market-based (0.333) available; Strong production recovery post-COVID (+61% vs 2020); ISO 14001 main facilities; ISO 45001 main plants; ISO 50001 (Barcelona + France); EMAS Spain (GSW, Atlantic, Barcelona); SustSteel verified BV; Working on AENOR N (first steel sector); Production p.007, p.009 SR2021; Emissions p.067, p.071 SR2021",,52.5,0.12665,0.13685,0.013621893,124.9926654,0.02875,0.03605,14.234,149.6,71.7,27881.0,167036.0,6604935.0,795615.0,0.464025221,0.120457658,6605672.0,1.000111583,4.0,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.11893939393939396
Celsa Group,Spain,EAF,,2022,5.518,0.656,0.765,0.995,1.421,0.258,0.299,B,,,,Committed (1.5°C),,,Yes,Yes,Excellent,Location-based (0.258) and market-based (0.299) av,,80.32,0.20405,0.1972,0.035601772,98.08378154,0.0888,0.07615,11.464,136.4,64.0,28853.0,159517.0,5937730.0,845284.0,0.517945743,0.142358107,6702338.0,1.128771096,4.0,,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.11888365349764408
Celsa Group,Spain,EAF,,2023,6.296,0.634,0.816,0.979,1.45,0.23,0.256,B,,,,Validated (1.5°C),,,Yes (main plants),Yes (main facilities),Excellent,Both location-based (0.230) and market-based (0.25,,84.0,0.15665,0.2077,0.017881373,97.74855755,0.0618,0.07575,11.352,126.3,60.1,29449.0,120711.0,5304746.0,835336.0,0.467296159,0.157469557,8072808.0,1.521808584,4.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.10069885641677255
Celsa Group,Spain,EAF,,2024,6.234,0.614,0.755,0.933,1.369,0.22,0.245,B,,,,Validated (1.5°C),,,Yes (main plants),Yes (main sites),Excellent,Both location-based (0.220) and market-based (0.24,,65.0,0.13985,0.1913,0.013949641,87.80313684,0.0475,0.06295,11.832,129.5,65.4,30377.0,114696.0,5911823.0,756141.0,0.499646974,0.127903187,6295205.0,1.064850047,4.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0984921398780879
Outokumpu,Finland,EAF Stainless,,2013,2.585,1.267,,1.267,,,0.98,CDP Leadership (CDLI + CPLI),,RobecoSAM Silver Class 2014,,No,No,Yes,,,Good,Baseline year,,4.3,0.0749,0.118,0.007406618,92.87195897,0.04765,0.04115,3.5,165.7,68.6,,8652.0,4357385.0,,1.244967143,,4445759.0,1.02028143,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.49013539651837523
Outokumpu,Finland,EAF Stainless,,2014,2.544,1.221,,1.196,,,0.95,,,,,No,No,Yes,,,Good,Baseline year,,5.9,0.0728,0.1198,0.006225997,67.42338428,0.0466,0.03835,3.8,169.2,70.1,,7864.0,4544269.0,,1.195860263,,4364502.0,0.960440942,3.0,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4799528301886793
Outokumpu,Finland,EAF Stainless,,2015,2.381,1.119,,1.143,,,0.95,100 (Nordic CDLI - 6th consecutive year),,,,No,No,In progress (completed Q1 2016),,,Good,Baseline year,,7.6,0.07065,0.1158,0.006929105,51.43696783,0.0434,0.0356,4.0,166.1,69.6,,7827.0,4703761.0,,1.17594025,,4282797.0,0.910504807,3.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4699706005879883
Outokumpu,Finland,EAF Stainless,,2016,2.444,1.214,,1.211,,,0.99,,,,,Committed (joined 2016 - validated Dec 2021),No,Yes (completed Q1 2016),,,Excellent,Baseline year,,5.2,0.06895,0.1122,0.008110017,56.13143908,0.0427,0.0313,4.1,162.3,69.5,,7310.0,4891081.0,,1.192946585,,4200768.0,0.858862898,3.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4967266775777414
Outokumpu,Finland,EAF Stainless,,2017,2.448,1.053,,1.151,,,0.9,,,,,Committed (2°C scenario - validated Dec 2021),No,Yes,,In implementation,Good,Market-based estimated from 2025 presentation char,,5.8,0.06715,0.11275,0.010276933,65.26184397,0.04975,0.0296,4.0,168.7,73.5,,8246.0,4516679.0,,1.12916975,,4119380.0,0.912037362,3.0,,1.0,,,,,2.0,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.4301470588235294
Outokumpu,Finland,EAF Stainless,,2018,2.428,1.044,,1.093,,,0.88,,,ISSF Gold Award 2018,,Committed (20% by 2023 target approved - validated Dec 2021),No,Yes,Yes,,Fair,Methodology change,,15.5,0.0694,0.1131,0.011356758,57.98030254,0.05735,0.03155,4.1,167.6,73.1,,7282.0,4807428.0,,1.172543415,,4037287.0,0.839801865,3.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2,0.42998352553542013
