company,country,technology,technology_group,year,production,total_intensity_best,scope2_method_used,predicted,residual
Tata Steel Nederland,Netherlands,BF-BOF,BF-BOF,2020,6.07,1.7825370675453047,location,1.813646401872568,-0.03110933432726326
Tata Steel Nederland,Netherlands,BF-BOF,BF-BOF,2021,6.45,1.7751937984496124,location,1.813646401872568,-0.038452603422955534
Tata Steel Nederland,Netherlands,BF-BOF,BF-BOF,2022,6.16,1.7564935064935063,location,1.813646401872568,-0.05715289537906165
Tata Steel Nederland,Netherlands,BF-BOF,BF-BOF,2023,4.66,1.8841201716738196,location,1.813646401872568,0.07047376980125164
Tata Steel Nederland,Netherlands,BF-BOF,BF-BOF,2024,6.57,1.7458143074581427,location,1.813646401872568,-0.06783209441442528
Voestalpine,Austria,BF-BOF,BF-BOF,2017,8.17,1.8604651162790697,location,1.813646401872568,0.04681871440650176
Voestalpine,Austria,BF-BOF,BF-BOF,2018,6.94,1.9452449567723342,location,1.813646401872568,0.13159855489976624
Voestalpine,Austria,BF-BOF,BF-BOF,2019,7.3,1.9917808219178081,location,1.813646401872568,0.17813442004524016
Voestalpine,Austria,BF-BOF,BF-BOF,2020,6.74,1.9347181008902077,location,1.813646401872568,0.1210716990176397
Voestalpine,Austria,BF-BOF,BF-BOF,2021,7.88,1.9327411167512691,location,1.813646401872568,0.11909471487870116
Voestalpine,Austria,BF-BOF,BF-BOF,2022,7.38,1.8102981029810299,location,1.813646401872568,-0.003348298891538093
Voestalpine,Austria,BF-BOF,BF-BOF,2023,7.11,1.8368495077355833,location,1.813646401872568,0.023203105863015328
Tata Steel UK,UK,BF-BOF,BF-BOF,2020,3.38,2.0118343195266273,location,1.813646401872568,0.1981879176540593
Tata Steel UK,UK,BF-BOF,BF-BOF,2021,3.27,1.9571865443425076,location,1.813646401872568,0.14354014246993962
Tata Steel UK,UK,BF-BOF,BF-BOF,2022,3.4,1.9411764705882355,location,1.813646401872568,0.12753006871566752
Tata Steel UK,UK,BF-BOF,BF-BOF,2023,2.93,2.0136518771331056,location,1.813646401872568,0.20000547526053758
Tata Steel UK,UK,BF-BOF,BF-BOF,2024,2.99,1.906354515050167,location,1.813646401872568,0.09270811317759908
Acerinox EU,Spain,EAF Stainless,EAF,2019,2.231,1.298520842671448,market,0.6056002402168932,0.6929206024545549
Acerinox EU,Spain,EAF Stainless,EAF,2020,2.26,1.2252212389380532,market,0.6056002402168932,0.61962099872116
Acerinox EU,Spain,EAF Stainless,EAF,2021,2.619,1.2042764413898435,market,0.6056002402168932,0.5986762011729503
Acerinox EU,Spain,EAF Stainless,EAF,2022,2.19,1.2561643835616438,market,0.6056002402168932,0.6505641433447507
Acerinox EU,Spain,EAF Stainless,EAF,2023,1.945,1.163496143958869,market,0.6056002402168932,0.5578959037419757
Acerinox EU,Spain,EAF Stainless,EAF,2024,1.752,1.1135844748858448,market,0.6056002402168932,0.5079842346689516
Acciaierie d'Italia Holding,Italy,BF-BOF,BF-BOF,2019,4.212,2.439933523266857,location,1.813646401872568,0.6262871213942889
Acciaierie d'Italia Holding,Italy,BF-BOF,BF-BOF,2020,3.371,2.542865618510828,location,1.813646401872568,0.7292192166382598
Acciaierie d'Italia Holding,Italy,BF-BOF,BF-BOF,2021,3.996,2.511011011011011,location,1.813646401872568,0.6973646091384431
Acciaierie d'Italia Holding,Italy,BF-BOF,BF-BOF,2022,3.409,2.586975652684072,location,1.813646401872568,0.7733292508115039
SIDENOR Group,Bulgaria-Greece,EAF,EAF,2020,1.38,0.49144927536231886,location,0.6056002402168932,-0.11415096485457432
SIDENOR Group,Bulgaria-Greece,EAF,EAF,2021,1.53,0.45777777777777773,location,0.6056002402168932,-0.14782246243911545
SIDENOR Group,Bulgaria-Greece,EAF,EAF,2022,1.59,0.45867924528301884,location,0.6056002402168932,-0.14692099493387434
SIDENOR Group,Bulgaria-Greece,EAF,EAF,2023,1.26,0.4244444444444444,location,0.6056002402168932,-0.18115579577244878
SIDENOR Group,Bulgaria-Greece,EAF,EAF,2024,1.46,0.33184931506849313,location,0.6056002402168932,-0.27375092514840005
Feralpi Group,Italy,EAF,EAF,2013,1.901,0.3819042609153077,location,0.6056002402168932,-0.22369597930158547
Feralpi Group,Italy,EAF,EAF,2014,2.093,0.35594839942666034,location,0.6056002402168932,-0.24965184079023284
Feralpi Group,Italy,EAF,EAF,2015,2.223,0.343229869545659,location,0.6056002402168932,-0.2623703706712342
Feralpi Group,Italy,EAF,EAF,2016,2.39,0.33807531380753136,location,0.6056002402168932,-0.2675249264093618
Feralpi Group,Italy,EAF,EAF,2017,2.495,0.33346693386773546,location,0.6056002402168932,-0.2721333063491577
Feralpi Group,Italy,EAF,EAF,2018,2.503,0.32281262485017975,location,0.6056002402168932,-0.28278761536671343
Feralpi Group,Italy,EAF,EAF,2019,2.496,0.31530448717948717,location,0.6056002402168932,-0.290295753037406
Feralpi Group,Italy,EAF,EAF,2020,2.486,0.29766693483507645,location,0.6056002402168932,-0.30793330538181674
Feralpi Group,Italy,EAF,EAF,2021,2.624,0.2839176829268293,location,0.6056002402168932,-0.3216825572900639
Feralpi Group,Italy,EAF,EAF,2022,2.456,0.28623778501628666,location,0.6056002402168932,-0.3193624552006065
Feralpi Group,Italy,EAF,EAF,2023,2.43,0.28930041152263375,location,0.6056002402168932,-0.31629982869425943
Feralpi Group,Italy,EAF,EAF,2024,2.584,0.2917956656346749,location,0.6056002402168932,-0.3138045745822183
SHS Group,Germany,BF-BOF,BF-BOF,2017,5.335,1.8404873477038426,location,1.813646401872568,0.02684094583127461
SHS Group,Germany,BF-BOF,BF-BOF,2018,5.116,1.6825645035183738,location,1.813646401872568,-0.13108189835419415
SHS Group,Germany,BF-BOF,BF-BOF,2019,4.519,1.8298296083204248,location,1.813646401872568,0.016183206447856868
SHS Group,Germany,BF-BOF,BF-BOF,2020,3.695,1.843572395128552,location,1.813646401872568,0.029925993255984107
SHS Group,Germany,BF-BOF,BF-BOF,2021,4.919,1.7753608457003456,location,1.813646401872568,-0.0382855561722224
SHS Group,Germany,BF-BOF,BF-BOF,2022,4.56,1.823684210526316,location,1.813646401872568,0.010037808653748037
SHS Group,Germany,BF-BOF,BF-BOF,2023,4.079,1.8742338808531505,location,1.813646401872568,0.060587478980582476
SHS Group,Germany,BF-BOF,BF-BOF,2024,4.485,1.7594202898550724,location,1.813646401872568,-0.05422611201749561
