company,company_id,year,total_chunks,climate_chunks,climate_pct,netzero_chunks,netzero_pct,netzero_of_climate_pct
ArcelorMittal,001,2013,943,320,45.04900490049005,12,14.367114367114366,3.75
ArcelorMittal,001,2014,917,285,37.48130894870025,11,16.95156695156695,3.8596491228070176
ArcelorMittal,001,2015,830,277,47.71634615384615,11,8.948782376459805,3.9711191335740073
ArcelorMittal,001,2016,731,210,45.44886709006686,18,20.2544649913071,8.571428571428571
ArcelorMittal,001,2017,726,210,47.64111705288176,14,26.95209242923758,6.666666666666667
ArcelorMittal,001,2018,872,260,49.87134815458955,12,10.70048309178744,4.615384615384616
ArcelorMittal,001,2019,980,375,68.02073263903665,22,14.786821705426355,5.866666666666666
ArcelorMittal,001,2020,1078,379,55.4067855477006,22,13.0205327267446,5.804749340369393
ArcelorMittal,001,2021,1197,534,71.9795175879029,50,14.846312509077869,9.363295880149813
ArcelorMittal,001,2022,1195,548,65.17520540167503,31,9.313285157826916,5.656934306569343
ArcelorMittal,001,2023,1160,530,62.15277777777778,49,14.555631734951106,9.245283018867925
ArcelorMittal,001,2024,877,366,59.275418275418275,40,16.1499484713157,10.92896174863388
Acerinox,002,2015,101,14,13.861386138613863,1,7.142857142857142,7.142857142857142
Acerinox,002,2016,104,22,21.153846153846153,2,9.090909090909092,9.090909090909092
Acerinox,002,2017,114,18,15.789473684210526,0,0.0,0.0
Acerinox,002,2018,162,19,11.728395061728394,1,5.263157894736842,5.263157894736842
Acerinox,002,2019,217,42,27.77027027027027,5,13.703703703703702,11.904761904761903
Acerinox,002,2020,229,51,22.270742358078603,7,13.725490196078432,13.725490196078432
Acerinox,002,2021,195,40,20.51282051282051,5,12.5,12.5
Acerinox,002,2022,79,52,65.82278481012658,14,26.923076923076923,26.923076923076923
Acerinox,002,2023,80,49,61.25000000000001,17,34.69387755102041,34.69387755102041
Acerinox,002,2024,113,82,72.56637168141593,22,26.82926829268293,26.82926829268293
Outokumpu,003,2013,307,111,49.31131592421915,12,8.850036049026675,10.81081081081081
Outokumpu,003,2014,341,145,49.60014540167212,12,6.488095238095238,8.275862068965518
Outokumpu,003,2015,328,131,45.632075841266115,8,5.10840108401084,6.106870229007633
Outokumpu,003,2016,257,115,44.74708171206226,10,8.695652173913043,8.695652173913043
