company_id,company,year_min,year_max,n_years,total_chunks,climate_chunks,climate_pct_avg,netzero_chunks,netzero_pct_avg,specificity_avg,commitment_avg,talk_score_avg,talk_score_std,talk_score_first,talk_score_last,talk_score_delta_avg,opportunity_pct_avg,risk_pct_avg,neutral_pct_avg,sent_v2_avg,sent_v2_first,sent_v2_last,talk_score_trend,sent_v2_trend
001,ArcelorMittal,2013,2024,12,11506,4294,54.60153579417382,292,15.07058637606798,0.7755012431245537,0.8939606278901414,77.69878199942258,2.8387372795510193,75.99456856952,79.9802337668877,0.3623331997606995,26.040592904925116,16.1732843794895,57.786122715585385,67.65343124102101,55.65995058499874,63.75726254794889,3.9856651973676946,8.097311962950151
002,Acerinox,2015,2024,10,1394,389,33.27260906711108,74,14.987234079506546,0.750772188050018,0.9137208243238218,73.23424230837581,5.130329258112048,65.89674951911147,82.5142904102954,1.8463934323537705,35.364698032460744,11.168111469910697,53.46719049762855,77.6637770601786,76.78888622849512,66.34073334580998,16.617540891183936,-10.448152882685136
003,Outokumpu,2013,2024,12,3487,1675,49.51940726243513,167,9.371784451865379,0.7704125636195037,0.9217444892432352,77.5901635669966,1.7641275547647557,76.64100039375808,80.86284227102047,0.3838038070238538,21.721794083633995,28.446993364202907,49.831212552163095,43.10601327159418,28.50846467057221,52.99226081688002,4.221841877262392,24.48379614630781
004,Salzgitter,2013,2024,12,3897,1194,33.83079854066416,53,3.2612065611721994,0.7473742352538797,0.9116883035723126,73.12866126118053,2.425330283196268,70.13761621251302,75.80651354434164,0.5153543028935107,27.898796684643816,27.495096251719957,44.60610706363622,45.009807496560086,45.57826212109376,54.40875474228333,5.668897331828617,8.83049262118957
005,SSAB,2013,2024,12,2977,1180,39.01164171297018,159,12.43366475341755,0.7476460772488811,0.9098599159262751,74.1025680696003,2.151574897224105,72.51269803473659,77.4065658873638,0.44489707751156454,35.31914970326708,13.93328527330909,50.747565023423824,72.13342945338182,61.41941739298163,66.37114377389915,4.89386785262721,4.9517263809175205
006,TataSteelNederland,2021,2024,4,614,424,72.64958255106534,52,14.159525733711645,0.7504836289909876,0.9389637546374141,82.10781185534914,2.2360752501904666,84.36469407193428,80.55089780221631,-1.271265423239323,42.24242277896587,16.42683246332973,41.3307447577044,67.14633507334054,96.34919496641913,28.528522781290718,-3.813796269717969,-67.82067218512842
007,Celsa,2020,2024,5,420,315,76.04479608848541,79,21.20304114490161,0.7265472106456013,0.9211932579882627,81.11857796305165,1.6104489695906439,79.70232217808372,82.48654613614022,0.6960559895141252,40.878404726764415,1.736743447764291,57.3848518254713,96.52651310447143,94.71208126157222,90.72034360993682,2.7842239580565007,-3.991737651635404
008,Voestalpine,2013,2024,9,490,231,47.532159925776945,25,11.961600206036811,0.7494509809858205,0.922850398023094,76.39848714551198,2.571786641127643,72.28546176808003,76.05639737789645,0.4713669512270524,25.35073359959783,4.183458430060949,70.46580797034122,91.63308313987811,91.24171595876015,94.25714008523298,3.7709356098164193,3.0154241264728228
009,AcciaieriedItalia,2021,2022,2,318,232,72.94378288562724,26,11.125158027812894,0.729856895124661,0.9038260473432504,79.93607427584192,0.5816549705427088,79.5247821018603,80.34736644982353,0.8225843479632289,48.45292228806071,3.1483964734941603,48.39868123844513,93.70320705301168,93.69820179562996,93.7082123103934,0.8225843479632289,0.010010514763450828
010,TataSteelUK,2021,2024,4,353,210,63.8064193772635,19,7.457114073300187,0.7290318694127963,0.9218711276734982,78.7974037589045,4.002610676047464,84.5879205725768,76.08933317765793,-2.832862464972957,36.13728419252162,6.979091234833749,56.88362457264463,86.04181753033251,100.0,79.56112938288669,-8.498587394918871,-20.43887061711331
012,Dillinger,2015,2024,9,526,220,35.826949184155545,6,2.886432350718065,0.7588823808723175,0.9111879904510596,73.9682046897662,2.692245151096805,74.03104813866968,70.48647340646971,-0.44307184152499524,52.35725593084316,19.223300390098895,28.419443679057945,61.55339921980221,100.0,36.627905445803805,-3.544574732199962,-63.372094554196195
013,SIDENOR,2021,2024,4,251,204,83.92305182326706,33,17.33541822133197,0.7437637314969902,0.919470826125696,83.31399266956086,2.0567184080150254,84.79756993989885,83.32190020893404,-0.49188991032160345,34.06966154329929,13.562881391606359,52.36745706509435,72.8742372167873,62.91723773503099,61.37514200231722,-1.4756697309648104,-1.5420957327137685
014,Feralpi,2014,2024,10,1725,1134,71.57256148171066,104,11.835151557625007,0.7285530674532892,0.9065474357960767,79.71853242631678,2.5632876554252566,74.45418952063321,80.11131660189974,0.628569675696282,43.123046706689536,8.174329129018178,48.70262416429229,83.65134174196365,97.50321030733585,73.07524110595219,5.6571270812665375,-24.42796920138366
015,NipponSteel,2013,2024,12,3454,2097,65.99640286835107,215,11.204850588808606,0.7093299880398055,0.9161976498218366,78.22038608813591,1.4930545765093448,77.01296173199817,80.91646841934264,0.3548642443040419,64.22166637679213,4.594243636432614,31.184089986775263,90.81151272713477,97.79094724519317,87.45441440330548,3.9035066873444606,-10.336532841887689
016,Baosteel,2013,2024,12,4523,1408,39.522907382898225,74,4.491749572838786,0.74528454323678,0.9216878352904708,74.58347661766967,1.8112248140404559,72.68646540212151,76.09301680773672,0.309686491419564,55.22034131956483,7.781898588160921,36.99776009227425,84.43620282367816,72.51853777436591,79.88342794747567,3.406551405615204,7.364890173109757
