company,year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Salzgitter,2024,5,3,2,3,0,1,2,1,0,1,1,0,0,0,4,1,2
TataSteelNederland,2022,1,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
TataSteelNederland,2023,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0
TataSteelNederland,2024,4,0,0,2,0,0,0,0,0,0,0,31,2,0,0,0,0
Voestalpine,2013,10,2,0,1,1,0,0,1,1,0,0,0,1,2,1,0,0
Voestalpine,2015,1,1,0,1,0,0,1,1,1,0,0,0,1,2,1,0,0
Voestalpine,2018,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Voestalpine,2019,9,9,2,2,2,0,1,2,0,0,0,0,1,1,0,0,1
Voestalpine,2020,6,10,2,2,0,0,1,0,0,2,0,0,1,0,0,0,1
Voestalpine,2021,4,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
Voestalpine,2022,3,3,2,3,0,1,0,1,0,1,1,0,1,0,0,0,6
Voestalpine,2023,10,14,0,1,2,0,4,3,2,3,0,0,1,3,2,1,1
Voestalpine,2024,1,2,2,1,0,1,0,3,0,1,0,0,0,0,0,0,1
