year,-1,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16
2013,10,25,10,2,0,4,1,2,4,1,4,0,0,0,0,6,2
2014,8,11,4,0,0,1,0,5,0,0,1,4,0,0,0,0,5
2015,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,9,20,33,10,0,16,5,3,0,2,1,0,10,1,1,8,0
2019,8,30,23,20,0,2,13,2,0,1,1,0,14,0,0,0,8
2020,9,110,28,5,0,3,13,1,0,8,3,4,0,2,2,1,1
2021,12,31,20,2,0,5,1,3,0,2,1,3,0,2,5,2,0
2022,51,56,44,161,65,8,3,11,0,5,2,0,1,9,2,3,0
2023,12,46,55,9,0,7,8,1,14,5,6,12,0,5,5,1,2
2024,46,103,14,2,0,15,1,17,0,3,0,0,0,3,5,1,1
2025,28,16,149,4,0,3,1,0,17,3,8,3,0,2,2,0,1
